StreamName,MaxE2E(us),Deadline(us),Path
Stream_183,5979.1,14644,ES_92->Switch_31->Switch_30->Switch_29->Switch_28->Switch_27->Switch_26->Switch_25->Switch_24->Switch_23->Switch_22->Switch_21->Switch_20->Switch_19->ES_56
Stream_184,3401.9,15379,ES_92->Switch_31->Switch_32->Switch_1->Switch_2->Switch_3->Switch_4->Switch_5->Switch_6->Switch_7->ES_21
Stream_185,762.6,4177,ES_93->Switch_31->Switch_30->Switch_29->Switch_28->Switch_27->Switch_26->Switch_25->Switch_24->Switch_23->Switch_22->ES_65
Stream_186,2067.5,3354,ES_93->Switch_31->Switch_30->Switch_29->Switch_28->Switch_27->Switch_26->Switch_25->Switch_24->Switch_23->ES_67
Stream_187,5392.6,1916,ES_94->Switch_32->Switch_1->Switch_2->Switch_3->Switch_4->Switch_5->Switch_6->Switch_7->Switch_8->Switch_9->Switch_10->Switch_11->ES_31
Stream_188,1453.5,7788,ES_94->Switch_32->Switch_1->Switch_2->Switch_3->Switch_4->Switch_5->Switch_6->Switch_7->Switch_8->Switch_9->Switch_10->Switch_11->Switch_12->Switch_13->Switch_14->Switch_15->ES_44
Stream_189,160.8,12876,ES_95->Switch_32->Switch_31->ES_93
Stream_190,693.2,6582,ES_95->Switch_32->Switch_1->ES_2
Stream_191,888.2,17558,ES_96->Switch_32->Switch_1->Switch_2->Switch_3->Switch_4->Switch_5->ES_14
Stream_192,933.3,2385,ES_96->Switch_32->Switch_1->Switch_2->Switch_3->ES_9
